Meas No,Distance (cm),Permittivity (mV),Probe Soil Moisture (%),Comments
1,0,927,0.365,
2,10,809,0.353,
3,20,794,0.344,
4,30,782,0.337,
5,40,747,0.317,
6,50,862,0.387,
7,60,729,0.307,
8,70,827,0.365,
9,80,764,0.327,
10,90,660,0.27,
11,100,785,0.339,
12,200,772,0.331,
13,210,845,,
14,220,776,,
15,230,685,,
16,240,755,,
17,250,698,,
18,260,717,,
19,270,690,,
20,280,750,,
21,290,584,,
22,300,482,,
23,400,785,,
24,410,787,,
25,420,750,,
26,430,564,,
27,440,719,,
28,450,609,,
29,460,718,,
30,470,625,,
31,480,634,,
32,490,599,,
33,500,598,,
34,600,740,,
35,610,671,,
36,620,620,,
37,630,500,,
38,640,533,,
39,650,544,,
40,660,451,,
41,670,352,,
42,680,350,,
43,690,345,,
44,700,342,,
45,800,684,,
46,810,601,,
47,820,663,,
48,830,438,,
49,840,588,,
50,850,492,,
51,860,681,,
52,870,647,,
53,880,446,,
54,890,656,,
55,900,621,,
56,1000,674,,
57,1010,692,,
58,1020,627,,
59,1030,713,,
60,1040,635,,
61,1050,779,,
62,1060,798,,
63,1070,668,,
64,1080,676,,
65,1090,722,,
66,1100,603,,
67,1200,900,,
68,1210,893,,
69,1220,815,,
70,1230,875,,
71,1240,776,,
72,1250,828,,
73,1260,785,,
74,1270,763,,
75,1280,851,,
76,1290,883,,
77,1300,753,,
78,1400,600,,
79,1410,579,,
80,1420,668,,
81,1430,488,,
82,1440,425,,
83,1450,525,,
84,1460,482,,
85,1470,444,,
86,1480,450,,
87,1490,431,,
88,1500,385,,
89,1600,413,,
90,1610,498,,
91,1620,402,,
92,1630,415,,
93,1640,324,,
94,1650,404,,
95,1660,378,,
96,1670,346,,
97,1680,412,,
98,1690,378,,
99,1700,413,,
100,1800,380,,
101,1810,332,,
102,1820,350,,
103,1830,350,,
104,1840,365,,
105,1850,420,,
106,1860,361,,
107,1870,301,,
108,1880,243,,
109,1890,213,,
110,1900,227,,
111,2000,214,,
112,2010,349,,
113,2020,258,,
114,2030,239,,
115,2040,203,,
116,2050,297,,
117,2060,276,,
118,2070,321,,
119,2080,319,,
120,2090,197,,
121,2100,209,,
122,2200,253,,
123,2210,249,,
124,2220,321,,
125,2230,271,,
126,2240,175,,
127,2250,237,,
128,2260,278,,
129,2270,261,,
130,2280,227,,
131,2290,204,,
132,2300,215,,
133,2400,157,,
134,2410,172,,
135,2420,176,,
136,2430,183,,
137,2440,186,,
138,2450,220,,
139,2460,169,,
140,2470,160,,
141,2480,174,,
142,2490,201,,
143,2500,259,,
144,2600,249,,
145,2610,234,,
146,2620,304,,
147,2630,282,,
148,2640,236,,
149,2650,219,,
150,2660,225,,
151,2670,254,,
152,2680,231,,
153,2690,272,,
154,2700,221,,
155,2800,277,,
156,2810,223,,
157,2820,267,,
158,2830,304,,
159,2840,254,,
160,2850,285,,
161,2860,231,,
162,2870,306,,
163,2880,288,,
164,2890,264,,
165,2900,216,,
166,3000,,,
167,3010,,,
168,3020,,,
169,3030,,,
170,3040,,,
171,3050,,,
172,3060,,,
173,3070,,,
174,3080,,,
175,3090,,,
176,3100,,,
177,3200,,,
178,3210,,,
179,3220,,,
180,3230,,,
181,3240,,,
182,3250,,,
183,3260,,,
184,3270,,,
185,3280,,,
186,3290,,,
187,3300,,,
188,3400,,,
189,3410,,,
190,3420,,,
191,3430,,,
192,3440,,,
193,3450,,,
194,3460,,,
195,3470,,,
196,3480,,,
197,3490,,,
198,3500,,,
199,3510,,,
200,3520,,,
201,3530,,,
202,3540,,,
203,3550,,,
204,3560,290,,
205,3570,323,,
206,3580,203,,
207,3590,182,,
208,3600,151,,
209,3610,194,,
210,3620,239,,
211,3630,194,,
212,3640,262,,
213,3650,178,,
214,3660,180,,
215,3670,149,,
216,3680,153,,
217,3690,176,,
218,3700,166,,
219,3800,222,,
220,3810,260,,
221,3820,223,,
222,3830,236,,
223,3840,215,,
224,3850,203,,
225,3860,147,,
226,3870,277,,
227,3880,263,,
228,3890,165,,
229,3900,247,,
230,4000,312,,
231,4010,310,,
232,4020,262,,
233,4030,196,,
234,4040,216,,
235,4050,233,,
236,4060,202,,
237,4070,236,,
238,4080,272,,
239,4090,245,,
240,4100,171,,
241,4200,149,,
242,4210,169,,
243,4220,153,,
244,4230,459,,
245,4240,459,,
246,4250,253,,
247,4260,265,,
248,4270,243,,
249,4280,232,,
250,4290,215,,
251,4300,198,,
252,4400,418,,
253,4410,440,,
254,4420,383,,
255,4430,323,,
256,4440,262,,
257,4450,168,,
258,4460,171,,
259,4470,183,,
260,4480,235,,
261,4490,260,,
262,4500,231,,
263,4600,314,,
264,4610,372,,
265,4620,419,,
266,4630,439,,
267,4640,419,,
268,4650,406,,
269,4660,470,,
270,4670,502,,
271,4680,631,,
272,4690,600,,
273,4700,576,,
274,4800,840,,
275,4810,1032,,
276,4820,1023,,
277,4830,958,,
278,4840,997,,
279,4850,1057,,
280,4860,1063,,
281,4870,1091,,
282,4880,1044,,
283,4890,1052,,
284,4900,1063,,
285,5000,900,,
286,5010,974,,
287,5020,969,,
288,5030,789,,
289,5040,858,,
290,5050,864,,
291,5060,743,,
292,5070,777,,
293,5080,778,,
294,5090,805,,
295,5100,864,,
296,5200,682,,
297,5210,628,,
298,5220,802,,
299,5230,763,,
300,5240,718,,
301,5250,889,,
302,5260,721,,
303,5270,741,,
304,5280,892,,
305,5290,804,,
306,5300,900,,
307,5400,956,,
308,5410,930,,
309,5420,810,,
310,5430,870,,
311,5440,851,,
312,5450,889,,
313,5460,812,,
314,5470,822,,
315,5480,816,,
316,5490,797,,
317,5500,798,,
318,5600,646,,
319,5610,488,,
320,5620,762,,
321,5630,598,,
322,5640,459,,
323,5650,599,,
324,5660,700,,
325,5670,579,,
326,5680,502,,
327,5690,516,,
